iter	Passed	Remaining
0	1	1226
1	2	1048
2	3	1021
3	4	1013
4	5	1186
5	6	1150
6	7	1107
7	8	1081
8	9	1052
9	10	1044
10	11	1045
11	12	1065
12	13	1061
13	14	1055
14	15	1050
15	16	1035
16	17	1016
17	18	1010
18	19	1003
19	20	997
20	21	990
21	22	985
22	23	981
23	24	979
24	25	978
25	26	974
26	26	969
27	27	964
28	28	961
29	29	956
30	30	953
31	31	947
32	32	950
33	33	957
34	34	955
35	35	956
36	36	956
37	37	956
38	38	954
39	39	952
40	40	954
41	41	955
42	42	953
43	43	951
44	44	948
45	45	949
46	47	954
47	48	953
48	49	957
49	50	954
50	51	950
51	52	948
52	53	947
53	54	954
54	56	965
55	57	969
56	58	970
57	59	972
58	61	974
59	62	973
60	63	971
61	64	977
62	65	979
63	67	979
64	68	982
65	69	982
66	71	989
67	72	990
68	73	990
69	74	991
70	75	991
71	76	991
72	78	992
73	79	992
74	80	992
75	81	991
76	82	989
77	83	992
78	85	998
79	87	1002
80	88	1001
81	89	999
82	89	993
83	91	993
84	92	995
85	93	994
86	94	994
87	95	994
88	97	994
89	98	993
90	99	994
91	100	995
92	102	996
93	103	995
94	104	996
95	106	999
96	107	999
97	108	1000
98	109	1000
99	110	998
100	112	997
101	113	996
102	114	997
103	115	995
104	116	995
105	117	994
106	119	993
107	120	992
108	121	993
109	123	995
110	124	993
111	125	992
112	126	991
113	127	989
114	128	991
115	129	990
116	131	988
117	132	989
118	133	989
119	134	988
120	136	988
121	136	985
122	137	983
123	138	981
124	140	981
125	141	981
126	142	980
127	143	979
128	144	977
129	145	974
130	146	973
131	147	972
132	149	972
133	150	971
134	151	970
135	152	968
136	153	967
137	154	967
138	156	966
139	157	965
140	158	964
141	159	961
142	160	959
143	161	959
144	162	957
145	163	958
146	164	957
147	165	954
148	166	953
149	167	951
150	169	950
151	170	949
152	171	948
153	172	948
154	173	947
155	175	948
156	176	946
157	177	947
158	179	947
159	180	946
160	180	942
161	181	941
162	182	939
163	184	940
164	185	940
165	187	939
166	188	938
167	189	937
168	190	936
169	192	937
170	193	937
171	194	937
172	195	936
173	196	935
174	198	934
175	199	933
176	200	933
177	201	932
178	203	931
179	204	930
180	205	929
181	206	928
182	207	928
183	208	926
184	210	925
185	211	923
186	212	922
187	213	923
188	215	922
189	216	921
190	217	920
191	218	919
192	219	918
193	220	917
194	222	917
195	223	916
196	224	915
197	225	914
198	227	914
199	228	913
200	229	912
201	230	911
202	231	909
203	232	907
204	234	907
205	235	906
206	236	905
207	237	903
208	238	901
209	239	900
210	240	900
211	242	899
212	243	899
213	244	898
214	245	896
215	246	894
216	247	894
217	249	893
218	250	892
219	250	889
220	251	888
221	253	887
222	254	886
223	255	885
224	257	885
225	258	883
226	259	882
227	259	880
228	261	879
229	262	878
230	263	878
231	264	876
232	265	875
233	266	873
234	268	872
235	269	871
236	270	870
237	271	868
238	272	867
239	273	865
240	274	864
241	275	863
242	276	862
243	278	861
244	279	860
245	280	858
246	281	857
247	282	856
248	283	855
249	285	855
250	286	854
251	287	853
252	288	852
253	289	851
254	291	850
255	292	849
256	293	848
257	294	846
258	295	845
259	296	844
260	297	843
261	299	842
262	300	840
263	300	838
264	301	837
265	303	836
266	304	835
267	305	834
268	306	833
269	307	831
270	309	831
271	310	830
272	311	829
273	312	828
274	313	826
275	314	825
276	316	825
277	317	825
278	319	825
279	320	824
280	321	822
281	322	821
282	324	821
283	325	820
284	326	819
285	327	818
286	330	820
287	331	819
288	332	818
289	333	817
290	335	816
291	336	815
292	337	813
293	338	812
294	339	811
295	341	811
296	342	811
297	343	810
298	345	808
299	346	807
300	347	807
301	349	807
302	350	806
303	351	805
304	352	803
305	353	802
306	355	802
307	356	801
308	357	800
309	359	799
310	360	797
311	362	799
312	364	799
313	365	798
314	366	796
315	367	796
316	369	796
317	370	795
318	371	793
319	372	792
320	373	790
321	374	788
322	376	788
323	377	786
324	378	785
325	379	783
326	380	782
327	381	781
328	382	779
329	383	778
330	384	777
331	385	776
332	386	774
333	387	773
334	389	772
335	390	771
336	391	771
337	393	769
338	394	768
339	395	767
340	396	766
341	397	765
342	399	764
343	400	763
344	401	762
345	402	761
346	403	760
347	405	759
348	406	757
349	407	756
350	408	754
351	409	753
352	410	752
353	411	751
354	412	750
355	414	749
356	415	747
357	416	746
358	417	745
359	418	744
360	420	744
361	421	742
362	422	741
363	423	740
364	424	739
365	426	738
366	427	737
367	429	737
368	431	737
369	432	735
370	433	734
371	435	734
372	436	733
373	437	732
374	438	731
375	439	729
376	440	728
377	442	727
378	443	727
379	445	726
380	446	725
381	447	724
382	449	723
383	450	722
384	451	721
385	452	719
386	453	718
387	454	717
388	456	716
389	457	715
390	458	713
391	459	712
392	460	710
393	461	709
394	462	708
395	463	707
396	464	706
397	465	704
398	467	703
399	468	702
400	469	702
401	471	701
402	472	699
403	473	698
404	474	697
405	475	696
406	477	695
407	478	694
408	479	692
409	480	690
410	481	689
411	482	688
412	483	687
413	484	686
414	486	685
415	487	683
416	488	682
417	489	681
418	490	680
419	492	679
420	492	677
421	493	676
422	494	674
423	495	673
424	496	672
425	498	671
426	499	669
427	500	668
428	501	666
429	502	665
430	503	664
431	504	663
432	505	662
433	506	661
434	507	659
435	508	658
436	510	657
437	511	656
438	512	655
439	513	653
440	514	652
441	515	650
442	516	649
443	517	648
444	519	647
445	520	646
446	521	645
447	522	643
448	523	642
449	524	641
450	526	640
451	527	639
452	528	637
453	529	636
454	530	634
455	531	633
456	532	632
457	533	631
458	534	630
459	535	629
460	536	627
461	537	626
462	539	625
463	540	624
464	541	623
465	542	621
466	543	620
467	544	618
468	545	617
469	546	616
470	547	615
471	549	614
472	550	612
473	551	611
474	552	610
475	553	609
476	555	608
477	556	607
478	557	605
479	558	604
480	558	603
481	559	601
482	561	600
483	562	599
484	563	598
485	564	596
486	565	595
487	566	594
488	567	593
489	569	592
490	570	590
491	571	589
492	571	588
493	572	586
494	574	585
495	575	584
496	576	583
497	577	582
498	578	580
499	579	579
500	580	578
501	581	577
502	583	576
503	584	575
504	585	573
505	586	572
506	588	571
507	589	570
508	590	569
509	591	568
510	592	567
511	593	565
512	594	564
513	596	563
514	597	562
515	598	561
516	599	560
517	600	559
518	601	557
519	602	556
520	604	555
521	605	554
522	606	552
523	607	551
524	608	550
525	609	549
526	610	547
527	611	546
528	613	546
529	614	545
530	616	544
